tanggal,tempMin,tempMax,tempRata,kelembaban,curahHujan,sinarMatahari,kecepatanAngin,arahAngin,anginRata,arahAnginBanyak
1/1/2016,26.00,,29.30,86.00,17.70,4.10,3.00,220.00,1.00,N 
1/3/2016,26.00,32.70,28.90,89.00,15.50,3.20,2.00,340.00,0.00,N 
1/4/2016,26.00,32.70,27.70,90.00,8.50,5.20,3.00,200.00,1.00,N 
1/5/2016,26.00,32.40,28.00,89.00,3.80,2.70,3.00,100.00,1.00,N 
1/6/2016,24.00,32.30,29.00,87.00,17.20,1.50,4.00,120.00,2.00,N 
1/11/2016,26.00,32.30,27.80,91.00,7.30,1.80,4.00,350.00,1.00,N 
1/12/2016,25.00,,28.60,86.00,35.00,5.30,5.00,70.00,2.00,E 
1/13/2016,27.00,32.50,29.80,80.00,0.00,2.20,5.00,80.00,2.00,E 
1/16/2016,27.00,32.90,30.40,78.00,0.00,10.00,3.00,150.00,2.00,E 
1/17/2016,26.00,32.00,29.50,86.00,0.00,9.80,4.00,140.00,1.00,N 
1/18/2016,26.00,32.90,28.70,87.00,0.40,1.70,5.00,230.00,1.00,N 
1/19/2016,26.00,33.20,29.40,87.00,33.00,2.30,4.00,320.00,1.00,N 
1/20/2016,27.00,30.20,28.00,90.00,12.80,3.70,9.00,260.00,2.00,NW
1/21/2016,25.00,30.50,26.80,93.00,75.50,2.30,6.00,340.00,1.00,N 
1/22/2016,,30.30,27.80,91.00,30.70,0.20,3.00,100.00,1.00,N 
1/23/2016,25.00,30.10,27.50,90.00,5.00,0.40,8.00,320.00,2.00,N 
1/24/2016,24.00,28.20,26.30,92.00,36.30,0.60,5.00,270.00,2.00,N 
1/25/2016,25.00,31.30,26.40,92.00,10.00,0.00,11.00,300.00,2.00,N 
1/26/2016,24.00,31.50,27.90,89.00,10.50,1.20,3.00,330.00,1.00,N 
1/27/2016,25.00,32.70,28.70,85.00,0.00,1.10,5.00,310.00,2.00,N 
1/28/2016,25.00,33.40,28.70,85.00,4.10,4.80,5.00,270.00,1.00,N 
